kata,dasar,stopword,sinonim
akomodasi,Ya,Bukan,fasilitas|kemudahan
alasan,Bukan,Bukan,argumen|argumentasi|asas|bukti|dalih|dalil|dasar|kausa|keterangan|kilah|latar belakang|pasal|pertimbangan|sebab|tanda
akses,Ya,Bukan,jalan masuk|kanal|saluran|susukan|terusan
akibat,Ya,Bukan,akhir|balasan|buah|dampak|efek|ekoran|ekses|ganjaran|hasil|imbalan|imbangan|imbas|kelanjutan|kesan|kesudahan|konsekuensi|pengaruh|reaksi|resultan|risiko|sambungan|terusan
aba,Ya,Bukan,ayah|bapak
aman,Ya,Bukan,bahagia|damai|hening|jernih (suasana)|lega|reda|rukun|sejahtera|senang|sentosa|tenang|tenteram|selamat|sip |terjaga|terjamin|terlindung|tersembunyi|mantap|meyakinkan|pasti
arahan,Bukan,Bukan,bimbingan|firman|panduan|pedoman|pengarahan|pengawalan|perintah|petunjuk|pimpinan|sabda|suruhan|tuntunan|aba-aba|amanat|mandat|titah
acara,Ya,Bukan,agenda|daftar|jadwal|kalender|kegiatan|kesibukan|program|programa|rancangan|rencana|skedul |urusan
aturan,Bukan,Bukan,adat|hukum|kaidah|kanun|ketentuan|metode|norma|patokan|peraturan|petunjuk|preskripsi|rel |resam|sistem|susunan|tata cara|tata tertib|tatanan
administrasi,Ya,Bukan,manajemen|tadbir|tata laksana|tata usaha
ambil,Ya,Bukan,cabut|capai|cedok|curi|jangkau|jiplak|jolok|kait|kebas|kutip|nukil|pegang|petik|pungut|rampas|rebut|rekam|renggut|rompak|sambar|samun|sapu|sedut|sentak|tangkap|tarik|terima|tiru
amati,Bukan,Bukan,kawal
alternatif,Ya,Bukan,opsi|pilihan|preferensi|seleksi
administratif,Ya,Bukan,manajerial
agama beragama,Bukan,Bukan,memeluk
agenda,Ya,Bukan,acara|buku catatan|buku harian|daftar|jadwal|program|rancangan|rencana|senarai|skedul
beberapa,Ya,Ya,jumlah|kaum|kira-kira|kurang lebih|para|sebagian|sebanyak|segenap|sejumlah|sekitar|seluruh|semua|separo|separuh|seputar|setengah
beda,Ya,Bukan,gap|jarak|kacek|kelainan|pautan|perbedaan|selisih|senjang|tikai|a asing|lain|parak
begitu,Ya,Ya,sedemikian itu|sejenis itu|semacam itu|seperti itu|serupa itu
bekas,Ya,Bukan,bakat|cap|garis|gores|impresi|jejak|kesan|rekam|surih|tanda|tikas|tilas|trek |a eks|mantan|n ampas|baki|kelebihan|restan|sempuras|sisa|n apkiran|bangkai|besi
bekerja,Bukan,Ya,beraksi|berbicara|berbuat|bergerak|bergiat|beroperasi|berpikir|bertindak|berkarya|berdinas|bertugas|berprofesi|berfungsi|berjalan|berproses|hidup|main|menyala
belajar,Bukan,Bukan,berguru|berlatih|bersekolah|melampas|melancarkan|melatih diri|memahirkan|membaca|membiasakan|mencari ilmu|menelaah|mengaji|menggali
bencana,Ya,Bukan,bahala|bahaya|bala|dahiat|kecelakaan|kegagalan|kemalangan|kematian|kemudaratan|kenahasan|kerugian|kesedihan|kesengsaraan|kesialan|kesusahan|ketewasan|mala|malapetak
benda,Ya,Bukan,entitas|jasad|materi|objek|sesuatu|substansi|zat|arta|aset|banda|harta|kekayaan|barang
bendahara,Ya,Bukan,bendaharawan|kasir|petugas keuangan|mangkubumi|patih|perdana menteri|wazir|gajah|menteri
bengkak,Ya,Bukan,babak belur|bakup|balut|barah|basal|bedan|beliut|bengep|benggil|benggol|bengkil|bengul|benjol|benjut|bentol|besar|bintil|bintul|bisul|bokong
berlaku,Bukan,Bukan,beraksi|berbuat|bertindak|berfungsi|bermain|berperan|aktif|berjalan|berlangsung|terjadi|aci|asi|benar|legal|resmi|sah|sahih|valid
bidang,Ya,Bukan,aspek|bagian|dunia|faktor|jurusan|kelompok|permukaan|segi|sektor|sisi|sudut pandangan|tempat|datar|latar|lebar|papak|papar
binatang,Ya,Bukan,dabat|fauna|hewan|satwa
cabang,Ya,Bukan,agen|badal|bagian|belahan|cabang|cagak|canggah|cawangan|dahan|filial|galah|jabang|penggal|perwakilan|ranting|simpangan|tangkai|unit|persimpangan
cacat,Ya,Bukan,aib|buruk|cela|daif|dosa|hina|keji|laif|lata|lemah|leta|nama buruk|nista|noda|rendah|wiring|abnormal|bengkok|capik|cedera|cempeng|cenangga|cengkeh kuap|cepoh|compeng|compes|cuil|galat|gempil|gerepes|geripis|incut|invalid|jengkang-jengkot|kecok|kipa|kurang|luka|lumpuh|pecok|pengkor|pincang|rempak|rengkat|retak|romping|rusak|serpih|sompek|somplak|sontak|sumbing|terjengket-jengket|teweng|timpang|tuna|keliru|salah
cahaya,Ya,Bukan,binar|cerah|cuaca|kilap|kilat|kilauan|kirana|kurat|nur|panah|pendar|semarak|seri|sinar|sorot|terang
cair,Ya,Bukan,cahar|encer|jelang|lebur|likuid|luluh|lumer|reda|surut
cakup,Ya,Bukan,menangkap|mencangam|mencaplok|mencengam|mencengap|mencomot|mengaut|menyauk|meraup|ki melingkupi|melingkungi|meliputi|mengkover|menyeluruhi|merangkum
campur,Ya,Bukan,aduk|bancuh|baur|gaul|kacau|karan|larut|sabur|bersama|gabung
catat,Ya,Bukan,tulis
cegah,Ya,Bukan,melalau|melarang|melawan|memanggang|memantang|membancang|membantar|membantut|memberangus|memintasi|menahan|menambak|menanggap|menangkal|mengawal|mengekang|mengelakkan|menghalang|menghambat|mengharamkan|menjaga|menjauhkan|menolak|menyekat|merintangi|a melindungi|preventif|protektif
celah,Ya,Bukan,antara|ganggang|jarak|kisi-kisi|renggangan|sela|seslat|sirat-sirat|belahan|bengkahan|rekahan|retakan
cemas,Ya,Bukan,asan tak asan|berwalang hati|bingung|empot-empotan|galau|gamang|gelebah|gelisah|harap-harap cemas|jeri|karut|kelesah|khawatir|mamang|nyanyang|renyang|resah|risau|samara|selempang|takut|tegang|was-was|hampir|hampir-hampir|nyaris|sayup
ciriciri,Bukan,Bukan,identitas|jati diri|pengenal
citra,Ya,Bukan,angan-angan|bayang-bayang|cermin|fantasi|gambaran|ide|ikon|imaji|impresi|khayalan|konsep|potret|rekaan|representasi|anggapan|kesan|pandangan|penilaian
coba,Ya,Bukan,jika|kalau|seandainya|seumpama
cocok,Ya,Bukan,pacak|sunduk|tusukan|akur|berbetulan|searah|sebahu|sebati|sehaluan|seia sekata|sejalan|sepaham|sepakat|sependirian|seragam|setubuh |setuju|betul|pas|sreg|tepat|akseptabel|layak|pantas|patut|tampan|asri|berpatutan|bertemu|harmonis|klop|kompatibel|masuk|mengena|pas|sajak|selaras|serasi|sesuai|setimpal|sinkron|sebabat|sebanding|sebaya|sederajat|seimbang|sejajar|sekelas|selevel|sepadan|setara|setimbang|setingkat
contoh,Ya,Bukan,kopi|model|replika|tiruan
daftar,Ya,Bukan,catatan|jadwal|lis|register|sijil|skedul|susunan|tabel|urutan|himpunan|kumpulan|senarai|faharasat|formasi|indeks|katalog|perincian|ruang|uraian
dahulu,Ya,Ya,awal|berlalu|di depan|di muka|dulu|lalu|lampau|lepas|lewat|mulamula|purba|silam|sudah-sudah|tempo
dakwa,Ya,Bukan,duga|gugat|sangka|tuding|tuduh|tukas|tuntut
damai,Ya,Bukan,adem ayem|akur|aman|bahagia|baik|enak|guyub|harmoni|jenjam|kompak|nyaman|rukun|sakinah|salam|sejahtera|sentosa|syahdu|tenang|tenteram
dampak,Ya,Bukan,akibat|buah|buntut|efek|ekor|ekses |hasil|imbas|impak|impresi|konsekuensi|pengaruh|resultan|benturan|hantaman|tumbukan
dampar,Ya,Bukan,hanyut|membanting|mengeban|menghempas
darat,Ya,Bukan,bumi|tanah
darurat,Ya,Bukan,gawat|genting|bahaya|terdesak|krisis|kritis|mendesak|serius|terjepit|terpaksa|terpojok|urgen|sementara|temporer
dasar,Ya,Bukan,alas|alur (sungai)|asas|aturan|bakat|basis|jalan|lambar|latar|lunas|motif|pangkal|pegangan|pembawaan|pendapat|perangai|permulaan|pribadi|punca|rancangan|sendi|sudut|tapak|teras|tiang|bawah|dek|geladak|landasan|lantai|lunas (kapal|perahu)|esensi|hakikat|inti|asas|basis|batu tapak(an)|falsafah|fondasi|fundamen|hukum|marga|panduan|patokan|pedoman|peraturan|pijakan|pilar|prinsip|rukun|saka
datar,Ya,Bukan,latar|melantai|papak|papar|pepat|rata|ki banal|boyak|gersang|hambar|kering|melelapkan|membosankan|menjemukan|prosais
daya,Ya,Bukan,kapabilitas|kapasitas|kebisaan|kebolehan|kecakapan|kemampuan|kepandaian|kesanggupan|kompetensi|kualifikasi|energi|gaya|harkat|kekuatan|ketajaman|tenaga|akal|kiat|kunci|muslihat|rahasia|resep|siasat|taktik|trik
dedikasi,Ya,Bukan,kontribusi|pengabdian|pengorbanan|persembahan|sumbangan|sumbangsih
definisi,Ya,Bukan,arti|batasan|deskripsi|interpretasi|ketentuan|keterangan|makna|maksud|pengertian|penjelasan|pernyataan|pertegasan|rumusan|takrif|uraian
dermaga,Ya,Bukan,bandar|cerocok|kade|pangkalan|pelabuhan|sandaran|tambatan
destinasi,Ya,Bukan,tujuan
detail,Ya,Bukan,perincian|pernik|serpih|spesifikasi|uraian
domestik,Ya,Bukan,dalam negeri|lokal|nasional|nusantara|pribumi|regional|setempat|tempatan|internal |kerumahtanggaan|jinak|piaraan
edukasi,Ya,Bukan,bimbingan|pendidikan|kursus|latihan
efek,Ya,Bukan,akibat|buah|buntut|dampak|daya|ekor|hasil|imbas|impak|impresi|kekuasaan|kekuatan|kesan|kesudahan|konsekuensi|pengaruh|produk|upaya|surat berharga
efektif,Ya,Bukan,ampuh|berhasil|berkhasiat|cespleng |efisien|makbul|mandi|mangkus|manjur|mempan|mengena|mujarab|mustajab|positif|sakti|sehat|tokcer
efisien,Ya,Bukan,berdaya guna|efektif|ekonomis|praktis|realistis|sangkil|sesuai|tepat|tepat guna
ekonomis,Ya,Bukan,cermat|hati-hati|hemat|irit
eksplorasi,Ya,Bukan,investigasi|pencarian|pendalaman|penelitian|penggalian|penjajakan|pengkajian|penjelajahan|penyelidikan|riset|studi
ekstra,Ya,Bukan,basi|bonus|lemburan|sisipan|suplemen|tambahan
ekstrem,Ya,Bukan,berlebihan|drastis|eksesif|lewat batas|melampaui|musykil|supernatural|fanatik|keterlaluan|radikal|reaksioner|revolusioner|ultra
elegan,Ya,Bukan,aksi|anggun|elok|flamboyan|gagah|jantan|jatmika|keren|ksatria|necis|parlente|ranggi|adib|beradab|berbudi|beretiket|bermoral|bersusila|sopan|tahu
empati,Ya,Bukan,afeksi|afinitas|belas kasihan|iba|patos|simpati|syafakat|tenggang rasa|timbang rasa
energi,Ya,Bukan,daya|dorongan|forsa|gaya|kakas|kekuatan|stamina|tenaga|upaya|gairah|intensitas|semangat|spirit vitalitas
estimasi,Ya,Bukan,agakan|anggapan|bayangan|penghitungan|perhitungan
evakuasi,Ya,Bukan,pemindahan|penghijrahan|pengungsian|penyelamatan|penyingkiran
fakta,Ya,Bukan,alasan|bahan|bainah|bukti|burhan|cena|dalil|data|fenomena|gejala|hakikat|hujah|informasi|kebenaran|kenyataan|kesahihan|keterangan|masukan|petunjuk|realitas|saksi|tanda
faktor,Ya,Bukan,anasir|aspek|bagian|ciri|elemen|hal|keadaan|komponen|konstituen|segi|sisi|situasi|suasana|sudut|sudut pandang|unsur|alasan|penyebab|sebab|variabel
